slug,file_size_kb,date,category,read_time,section_count,word_count,word_richness,eeat_score,ai_risk,total_risk,recommendation
"lagos-industrial-fasteners",8.4,2026-04-26,Regional Supplier,8,4,247,0,2,0,3,KEEP
"lock-nuts-nyloc-self-locking",9.5,2026-04-22,Technical Guide,9,6,399,1,2,0,2,KEEP
"lock-nuts-selflocking-nuts-guide",7.0,2026-04-22,Technical Guide,6,6,229,0,2,0,3,KEEP
"machine-screws-specifications",6.9,2026-04-22,Technical Guide,6,6,235,0,2,0,3,KEEP
"mining-equipment-fasteners-zambia-southafrica",10.5,2026-04-22,Market Analysis,11,6,569,2,1,0,2,KEEP
"mombasa-port-fasteners",7.0,2026-04-26,Regional Supplier,7,4,210,0,2,0,3,KEEP
"morocco-fastener-market-complete-guide",26.6,2026-04-26,Market Analysis,8,5,255,0,2,1,5,REWRITE
"mozambique-hardware-supplier",7.8,2026-04-26,Regional Supplier,8,4,123,0,2,0,3,KEEP
"nairobi-construction-hardware",7.8,2026-04-26,Regional Supplier,8,4,211,0,2,0,3,KEEP
"nuts-bolts-glossary-terminology",11.9,2026-04-22,Technical Guide,10,6,503,2,2,1,3,KEEP
"nylon-nuts-bolts-guide",13.9,2026-04-22,Technical Guide,8,4,487,1,2,0,2,KEEP
"rivets-blind-rivet-nut-guide",10.0,2026-04-22,Technical Guide,9,6,468,1,2,0,2,KEEP
"roofing-screws-epdm-washer-guide",13.0,2026-04-22,Installation Guide,8,4,467,1,2,0,2,KEEP
"self-drilling-screws-selection-guide",10.4,2026-04-19,Technical Guide,12,8,479,1,2,1,4,KEEP
"self-tapping-screws-guide",7.1,2026-04-22,Technical Guide,7,6,266,0,2,0,3,KEEP
"self-tapping-sheet-metal-screws",9.5,2026-04-22,Technical Guide,9,6,527,2,2,0,1,KEEP
"senegal-fastener-market-complete-guide",26.6,2026-04-26,Market Analysis,8,5,255,0,2,1,5,REWRITE
"set-screws-dowel-pins-guide",11.4,2026-04-22,Technical Guide,8,5,559,2,2,0,1,KEEP
"socket-head-cap-screws-guide",10.3,2026-04-22,Technical Guide,9,6,471,1,2,0,2,KEEP
"solar-panel-mounting-fasteners",10.8,2026-04-22,Technical Guide,10,6,513,2,2,0,1,KEEP
"south africa-fasteners-china-import-guide",17.0,2026-04-26,Import Guide,10,4,279,0,2,0,3,KEEP
"southern-africa-fastener-market-southafrica-botswana",10.1,2026-04-22,Market Analysis,10,6,650,2,1,0,2,KEEP
"stainless-steel-bolts-africa-guide",6.1,2026-04-22,Technical Guide,8,5,284,0,2,0,3,KEEP
"stainless-steel-fasteners-304-316",9.5,2026-04-22,Technical Guide,10,6,384,1,2,0,2,KEEP
"structural-steel-connection-fasteners",10.4,2026-04-22,Technical Guide,11,6,641,2,1,0,2,KEEP
"tanzania-fastener-market-complete-guide",26.7,2026-04-26,Market Analysis,8,5,259,0,2,1,5,REWRITE
"telecom-tower-fasteners",9.8,2026-04-22,Technical Guide,9,6,531,2,1,0,2,KEEP
"thread-types-guide-metric-imperial",13.5,2026-04-22,Technical Guide,8,4,462,1,2,0,2,KEEP
"threaded-rod-studding-guide",9.4,2026-04-22,Technical Guide,9,6,443,1,2,0,2,KEEP
"threaded-rods-fasteners-guide",7.1,2026-04-22,Technical Guide,6,6,243,0,2,0,3,KEEP
"timber-screws-construction-guide",7.0,2026-04-22,Technical Guide,6,6,242,0,2,0,3,KEEP
"torque-tensioning-critical-fasteners",11.3,2026-04-22,Technical Guide,10,6,634,2,2,0,1,KEEP
"u-bolts-pipe-clamps-guide",6.9,2026-04-22,Technical Guide,6,6,235,0,2,0,3,KEEP
"washer-types-applications",9.1,2026-04-22,Technical Guide,6,6,220,0,2,0,3,KEEP
"agrifastener-water-infrastructure",11.1,2026-04-22,Market Analysis,10,6,637,2,1,0,2,KEEP
"zambia-fastener-supplier",6.4,2026-04-26,Regional Supplier,8,4,139,0,2,0,3,KEEP
"zimbabwe-construction-fastener-market",10.7,2026-04-22,Market Analysis,10,6,631,2,1,0,2,KEEP
"zimbabwe-fastener-supplier",8.1,2026-04-26,Regional Supplier,8,4,147,0,2,0,3,KEEP
"zinc-plated-vs-black-phosphate-screws",12.9,2026-04-22,Product Comparison,8,4,462,1,2,0,2,KEEP
